Grapheme	IPA
³⁵⁻³³	³³/³⁵ +
³⁵⁻³¹	³¹/³⁵ +
³⁵⁻¹³	¹³/³⁵ +
³⁵⁻⁴²	⁴²/³⁵ +
³⁵⁻⁴⁴	⁴⁴/³⁵ +
³⁵⁻⁴⁵	⁴⁵/³⁵ +
³⁵⁻⁵³	⁵³/³⁵ +
³⁵⁻⁵⁵	⁵⁵/³⁵ +
³⁻²	²/³ +
³⁻²¹	²¹/³ +
³⁻³³	³³/³ +
³⁻⁴⁴	⁴⁴/³ +
¹	¹ +
¹*	¹/ +
¹²	¹² +
¹²⁻⁵⁵	⁵⁵/¹² +
¹³	¹³ +
¹³⁻	¹³ +
¹³⁻²²	²²/¹³ +
¹³⁻²³	²³/¹³ +
¹³⁻²¹	²¹/¹³ +
¹³⁻³³	³³/¹³ +
¹³⁻³¹	³¹/¹³ +
¹³⁻³⁵	³⁵/¹³ +
¹³⁻¹³	¹³/¹³ +
¹³⁻¹¹	¹¹/¹³ +
¹³⁻¹⁴	¹⁴/¹³ +
¹³⁻⁴⁴	⁴⁴/¹³ +
¹³⁻⁴⁵	⁴⁵/¹³ +
¹³⁻⁵	⁵/¹³ +
¹³⁻⁵³	⁵³/¹³ +
¹³⁻⁵⁵	⁵⁵/¹³ +
¹¹	¹¹ +
¹¹⁻²²	²²/¹¹ +
¹¹⁻²¹	²¹/¹¹ +
¹¹⁻⁴⁵	⁴⁵/¹¹ +
¹¹⁻⁵	⁵/¹¹ +
¹¹⁻⁵³	⁵³/¹¹ +
¹⁻²³	²³/¹ +
¹⁻²¹	²¹/¹ +
¹⁻¹	¹/¹ +
¹⁻¹¹	¹¹/¹ +
¹⁻⁴	⁴/¹ +
ã	ã
æ	æ
æ̃	æ̃
ï	ï
õ	õ
ø	ø
ĩ	ĩ
ŋ	ŋ
ŋs	ŋ s
ŋw	ŋ w
ŋŋ	ŋ ⁰ + ŋ
⁰	⁰ +
⁰$	⁰
ŋ̍	ŋ̍
ŋ̩	ŋ̩
œ	œ
ũ	ũ
ȵ	ɲ
ɐ	ɐ
ɑ	ɑ
ɑ̃	ɑ̃
ɒ	ɒ
ɒ̃	ɒ̃
ɔ	ɔ
ɔ̃	ɔ̃
ɕ	ɕ
ɕw	ɕ w
ɖ	ɖ
ɖw	ɖ w
ə	ə
ə̃	ə̃
ɚ	ɚ
ɛ	ɛ
ɛ̃	ɛ̃
ɜ	ɜ
ɣ	ɣ
ɣw	ɣ w
ɤ	ɤ
ɤ̃	ɤ̃
ɦ	ɦ
ɨ	ɨ
ɪ	ɪ
ɪ̃	ɪ̃
ɬ	ɬ
ɭ	ɭ
ɯ	ɯ
ɳ	ɳ
ɵ	ɵ
ɸ	ɸ
ɿ	ɿ
ʂ	ʂ
ʃ	ʃ
ʅ	ʅ
ʈ	ʈ
ʈw	ʈ w
ʈʰ	ʈʰ
ʊ	ʊ
ʊ̃	ʊ̃
ʌ	ʌ
ʌ̃	ʌ̃
ʏ	ʏ
ʐ	ʐ
ʑ	ʑ
ʑw	ʑ w
ʒ	ʒ
ʔ	ʔ
ʔw	ʔ w
ʔɕ	ʔ ⁰ ɕ
ʣ	dz
ʣw	dz w
ʥ	dʑ
ʥw	dʑ w
ʦ	ts
ʦuoŋ³²⁻²¹.ŋyɔŋ²⁴²	ts u o ŋ ²¹/³² + ŋ y ɔ ŋ ²⁴²
ʦw	ts w
ʦʰ	tsʰ
ʦʰ.j	j/ʦʰ
ʦʰ.ʒ	ʒ/tsʰ
ʦʰw	tsʰ w
ʦʰʒ	tsʰ ʒ
ʧ	tʃ
ʧʰ	tʃʰ
ʨ	tɕ
ʨw	tɕ w
ʨʰ	tɕʰ
ʨʰw	tɕʰ w
ʮ	ʮ
β	β
ᴀ	ᴀ/a̱
ᴀ̃	ᴀ̃/ã̱
ᴇ	ᴇ/e̞
ᴇ̃	ᴇ̃/ẽ̞
ẽ	ẽ
⁰²	⁰²/¹² +
⁰⁴	⁰⁴/¹⁴ +
⁴	⁴ +
⁴*	⁴/ +
⁴²	⁴² +
⁴²⁻²²	²²/⁴² +
⁴²⁻²¹	²¹/⁴² +
⁴²⁻³¹	³¹/⁴² +
⁴²⁻³⁵	³⁵/⁴² +
⁴²⁻¹²	¹²/⁴² +
⁴²⁻¹¹	¹¹/⁴² +
⁴²⁻⁴⁵	⁴⁵/⁴² +
⁴²⁻⁵³	⁵³/⁴² +
⁴²⁻⁵⁴⁴	⁵⁴⁴/⁴² +
⁴²⁻⁵⁵	⁵⁵/⁴² +
⁴³	⁴³ +
⁴³⁻²¹	²¹/⁴³ +
⁴¹	⁴¹ +
⁴⁴	⁴⁴ +
⁴⁴²	⁴⁴² +
⁴⁴²⁻⁵³	⁵³/⁴⁴² +
⁴⁴⁵	⁴⁴⁵ +
⁴⁴⁵⁻³³	³³/⁴⁴⁵ +
⁴⁴⁵⁻³¹	³¹/⁴⁴⁵ +
⁴⁴⁻	⁴⁴ +
⁴⁴⁻²¹	²¹/⁴⁴ +
⁴⁴⁻²⁴	²⁴/⁴⁴ +
⁴⁴⁻³²	³²/⁴⁴ +
⁴⁴⁻³³	³³/⁴⁴ +
⁴⁴⁻³⁵	³⁵/⁴⁴ +
⁴⁴⁻⁴²	⁴²/⁴⁴ +
⁴⁴⁻⁵³	⁵³/⁴⁴ +
⁴⁵	⁴⁵ +
⁴⁵⁻⁵³	⁵³/⁴⁵ +
⁵	⁵ +
⁵³	⁵³ +
⁵³³	⁵³³ +
⁵³⁻	⁵³ +
⁵³⁻²³	²³/⁵³ +
⁵³⁻²¹	²¹/⁵³ +
⁵³⁻²¹³	²¹³/⁵³ +
⁵³⁻²⁴	²⁴/⁵³ +
⁵³⁻³²	³²/⁵³ +
⁵³⁻³³	³³/⁵³ +
⁵³⁻³¹	³¹/⁵³ +
⁵³⁻³⁵	³⁵/⁵³ +
⁵³⁻¹³	¹³/⁵³ +
⁵³⁻¹¹	¹¹/⁵³ +
⁵³⁻⁴²	⁴²/⁵³ +
⁵³⁻⁴²³	⁴²³/⁵³ +
⁵³⁻⁴⁴	⁴⁴/⁵³ +
⁵³⁻⁴⁵	⁴⁵/⁵³ +
⁵³⁻⁵	⁵/⁵³ +
⁵³⁻⁵⁵	⁵⁵/⁵³ +
⁵¹	⁵¹ +
⁵¹³	⁵¹³ +
⁵¹³⁻²¹	²¹/⁵¹³ +
⁵¹³⁻³³	³³/⁵¹³ +
⁵¹³⁻⁵¹	⁵¹/⁵¹³ +
⁵¹³⁻⁵⁵	⁵⁵/⁵¹³ +
⁵¹⁻²¹	²¹/⁵¹ +
⁵¹⁻²¹³	²¹³/⁵¹ +
⁵¹⁻³³	³³/⁵¹ +
⁵¹⁻¹³	¹³/⁵¹ +
⁵¹⁻⁴⁴	⁴⁴/⁵¹ +
⁵¹⁻⁵³	⁵³/⁵¹ +
⁵¹⁻⁵⁵	⁵⁵/⁵¹ +
⁵⁴	⁵⁴ +
⁵⁴⁻²	²/⁵⁴ +
⁵⁵	⁵⁵ +
⁵⁵⁻²²	²²/⁵⁵ +
⁵⁵⁻²¹	²¹/⁵⁵ +
⁵⁵⁻²¹³	²¹³/⁵⁵ +
⁵⁵⁻³³	³³/⁵⁵ +
⁵⁵⁻³¹	³¹/⁵⁵ +
⁵⁵⁻³⁵	³⁵/⁵⁵ +
⁵⁵⁻¹³	¹³/⁵⁵ +
⁵⁵⁻⁴²	⁴²/⁵⁵ +
⁵⁵⁻⁴⁴	⁴⁴/⁵⁵ +
⁵⁵⁻⁴⁵	⁴⁵/⁵⁵ +
⁵⁵⁻⁵³	⁵³/⁵⁵ +
⁵⁵⁻⁵¹	⁵¹/⁵⁵ +
⁵⁻²	²/⁵ +
⁵⁻²³	²³/⁵ +
⁵⁻²¹	²¹/⁵ +
⁵⁻³	³/⁵ +
⁵⁻³²	³²/⁵ +
⁵⁻¹¹	¹¹/⁵ +
⁵⁻⁴	⁴/⁵ +
⁵⁻⁴⁴	⁴⁴/⁵ +
⁵⁻⁵	⁵/⁵ +
⁵⁻⁵³	⁵³/⁵ +
²$	²
²*$	²/
²²$	²²
²²⁻$	²²
²²⁻²²$	²²/²²
²²⁻²¹$	²¹/²²
²²⁻³⁵$	³⁵/²²
²²⁻¹¹$	¹¹/²²
²²⁻⁴²$	⁴²/²²
²²⁻⁵⁵$	⁵⁵/²²
²³$	²³
²³⁻²²$	²²/²³
²³⁻²³⁵$	²³⁵/²³
²³⁻²¹$	²¹/²³
²³⁻³⁵$	³⁵/²³
²³⁻⁴⁴$	⁴⁴/²³
²¹$	²¹
²¹²$	²¹²
²¹²⁻²¹$	²¹/²¹²
²¹²⁻¹²$	¹²/²¹²
²¹²⁻¹¹$	¹¹/²¹²
²¹²⁻⁴⁴$	⁴⁴/²¹²
²¹²⁻⁵³$	⁵³/²¹²
²¹³$	²¹³
²¹³⁻$	²¹³
²¹³⁻²$	²/²¹³
²¹³⁻²²$	²²/²¹³
²¹³⁻²³$	²³/²¹³
²¹³⁻²¹$	²¹/²¹³
²¹³⁻²¹⁵$	²¹⁵/²¹³
²¹³⁻²⁴$	²⁴/²¹³
²¹³⁻³³$	³³/²¹³
²¹³⁻³¹$	³¹/²¹³
